,RH
% Above Low,0.32939999999999997
% Held by Institutions,0.8739
52-Wk Range,['207.37 - 658.51']
Annual Dividend $,
Annual Dividend %,
Ask,275.99
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,2.1
Bid,275.36
Bid Size,100.0
Day Change $,-1.54
Day Change %,-0.0055000000000000005
Day High,280.5
Day Low,272.87
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",22.33
Ex-dividend Date,No dividend
Historical Volatility,0.603
Last (size),100.0
Last (time),12:44p ET 11/28/22
Market Cap,6.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",12.41
Prev Close,277.22
Price,275.69
Shares Outstanding,23.7M
Short Interest,0.1305
Today's Open,275.47
Volume Past Day,(Light)
