,CMS
% Above Low,0.16890000000000002
% Held by Institutions,0.9023
52-Wk Range,['52.41 - 73.76']
Annual Dividend $,1.84
Annual Dividend %,0.03
Ask,75.0
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,0.3
Bid,55.5
Bid Size,100.0
Closing Price,61.26
Day Change $,0.43
Day Change %,0.0070999999999999995
Day High,61.43
Day Low,61.03
Dividend Pay Date,2022-11-30 00:00:00
"EPS (TTM, GAAP)",2.49
Ex-dividend,2022-11-03 00:00:00
Ex-dividend Date,11/03/22
Historical Volatility,0.23399999999999999
Last (size),47.0
Last (time),5:00p ET 11/25/22
Market Cap,17.8B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",24.6
Prev Close,60.83
Shares Outstanding,290.3M
Short Interest,0.017
Today's Open,61.11
Volume,658943.0
Volume 10-day Avg,2115461.0
Volume Past Day,(Light)
