,TGTX
Next Earnings Announcement,2023-02-28 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,-0.4
Growth 1yr High Est,-0.49367088607594944
Growth 1yr Consensus Est,-0.44683544303797473
Growth 2yr Low Est,-0.14444444444444443
Growth 2yr High Est,-0.4010021097046414
Growth 2yr Consensus Est,-0.2727232770745429
Growth 5yr Low Est,-0.014003044140030424
Growth 5yr High Est,-0.12673056304904198
Growth 5yr Consensus Est,-0.0703668035945362
Growth 5yr Actual/Est,-0.08137498177379063
Growth 3yr Historic,0.08036768426378815
