,TGTX
% Above Low,1.2931000000000001
% Held by Institutions,0.6539
52-Wk Range,['3.48 - 24.90']
Annual Dividend $,
Annual Dividend %,
Ask,8.5
Ask Size,200.0
Ask close,9.93
B/A Ratio,0.5
B/A Size,100x200
Beta,2.2
Bid,7.98
Bid Size,100.0
Bid close,6.24
Change Since Close,0.00| |(0.00%)
Closing Price,7.98
Day Change $,-0.13
Day Change %,-0.016
Day High,8.34
Day Low,7.93
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.78
Ex-dividend Date,No dividend
Historical Volatility,1.306
Last (size),539.0
Last (time),4:00p ET 11/28/22
Last Trade,7.98
Market Cap,1.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,8.11
Shares Outstanding,145.3M
Short Interest,0.1476
Today's Open,8.12
Volume,1588977.0
Volume 10-day Avg,2836065.0
Volume Past Day,(Light)
