,TGTX
Price/Earnings (TTM),
Price/Sales (TTM),234.5718
Price/Book (MRQ),11.73209
Price/Cash Flow (TTM),
5yr Low,3.32
5yr High,56.74
5yr Avg Return,0.6197333333333332
EPS Growth 5yr,
Revenue Growth 5yr,1.130525
Dividend Growth 5yr,
Short Int Current Month,19682000.0
Short Int Prev Month,19231573.0
Short Int Pct of Float,0.147604
Days to Cover,5.1239
Float,133.3432
Shares Outstanding,145.342
Institutions Holding Shares,235.0
% Held by Institutions,0.653891
FCF Growth 5yr,0.07995357333855102
