,PLCE
Next Earnings Announcement,2023-03-08 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,-0.7122861586314152
Growth 1yr High Est,-0.6937002172338884
Growth 1yr Consensus Est,-0.7029931879326519
Growth 2yr Low Est,-0.4372241603967887
Growth 2yr High Est,-0.1967319053072516
Growth 2yr Consensus Est,-0.31697803285202014
Growth 5yr Low Est,0.17438791980160567
Growth 5yr High Est,0.31050809314790095
Growth 5yr Consensus Est,0.24244800647475329
Growth 5yr Actual/Est,-4.0748244258505455
Growth 3yr Historic,-3.9300137569727123
