,PLCE
Price/Earnings (TTM),4.61459
Price/Sales (TTM),0.27932
Price/Book (MRQ),2.74275
Price/Cash Flow (TTM),2.81192
5yr Low,9.25
5yr High,161.65
5yr Avg Return,-0.12251666666666665
EPS Growth 5yr,0.18452159999999998
Revenue Growth 5yr,0.0141618
Dividend Growth 5yr,
Short Int Current Month,2185846.0
Short Int Prev Month,2311522.0
Short Int Pct of Float,0.1755422
Days to Cover,4.49028
Float,12.45471
Shares Outstanding,13.02834
Institutions Holding Shares,229.0
% Held by Institutions,1.002504
FCF Growth 5yr,0.4746672427299879
