,PLCE
% Above Low,0.311
% Held by Institutions,1.0025
52-Wk Range,['29.20 - 95.49']
Annual Dividend $,
Annual Dividend %,
Ask,38.35
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,2.0
Bid,38.19
Bid Size,200.0
Day Change $,-0.51
Day Change %,-0.0131
Day High,38.89
Day Low,37.64
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",8.41
Ex-dividend Date,No dividend
Historical Volatility,0.682
Last (size),300.0
Last (time),10:58a ET 11/28/22
Market Cap,497.0M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",4.61
Prev Close,38.79
Price,38.28
Shares Outstanding,13.0M
Short Interest,0.17550000000000002
Today's Open,38.08
Volume Past Day,(Light)
