,CDRE
% Below High,0.18600000000000003
% Held by Institutions,0.42090000000000005
52-Wk Range,['17.40 - 31.50']
Annual Dividend $,0.32
Annual Dividend %,0.0125
Ask,28.0
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,
Bid,23.5
Bid Size,100.0
Closing Price,25.64
Day Change $,0.7
Day Change %,0.0281
Day High,25.66
Day Low,24.82
Dividend Pay Date,2022-11-14 00:00:00
"EPS (TTM, GAAP)",0.09
Ex-dividend,2022-10-31 00:00:00
Ex-dividend Date,10/31/22
Historical Volatility,0.6
Last (size),9.0
Last (time),5:00p ET 11/25/22
Market Cap,953.5M
"P/E Ratio (TTM, GAAP)",301.43
Prev Close,24.94
Shares Outstanding,37.3M
Short Interest,0.0519
Today's Open,25.06
Volume,119544.0
Volume 10-day Avg,232651.0
Volume Past Day,(Light)
