,CDRE
Price/Earnings (TTM),301.4343
Price/Sales (TTM),2.18674
Price/Book (MRQ),6.11395
Price/Cash Flow (TTM),52.82558
5yr Low,14.16
5yr High,31.5
5yr Avg Return,0.3493
Short Int Current Month,823046.0
Short Int Prev Month,1089068.0
Short Int Pct of Float,0.051863799999999995
Days to Cover,3.81133
Float,18.93192
Shares Outstanding,37.33227
Institutions Holding Shares,98.0
% Held by Institutions,0.420916
FCF Growth 5yr,0.4073859883821693
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
