,T
% Below High,0.1263
% Held by Institutions,0.5217
52-Wk Range,['14.46 - 21.53']
Annual Dividend $,1.11
Annual Dividend %,0.0581
Ask,18.81
Ask Size,28000.0
B/A Ratio,2.5785714285714287
B/A Size,72200x28000
Beta,0.6
Bid,18.8
Bid Size,72200.0
Day Change $,-0.31
Day Change %,-0.016200000000000003
Day High,19.15
Day Low,18.77
Dividend Pay Date,2022-11-01 00:00:00
"EPS (TTM, GAAP)",2.72
Ex-dividend,2022-10-06 00:00:00
Ex-dividend Date,10/06/22
Historical Volatility,1.043
Last (size),100.0
Last (time),3:55p ET 11/28/22
Market Cap,134.0B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",7.04
Prev Close,19.12
Price,18.81
Shares Outstanding,7.1B
Short Interest,0.0132
Today's Open,19.1
Volume Past Day,(Light)
