,T
Price/Earnings (TTM),7.0366
Price/Sales (TTM),1.04535
Price/Book (MRQ),1.11312
Price/Cash Flow (TTM),3.27473
5yr Low,14.46
5yr High,39.7
5yr Avg Return,-0.07871666666666667
EPS Growth 5yr,0.0565934
Revenue Growth 5yr,0.0061253
Dividend Growth 5yr,0.0161374
Short Int Current Month,94202700.0
Short Int Prev Month,94890966.0
Short Int Pct of Float,0.013236699999999999
Days to Cover,2.1207
Float,7117.064
Shares Outstanding,7127.0
Institutions Holding Shares,2862.0
% Held by Institutions,0.5217040000000001
FCF Growth 5yr,6.822212883286055
