,CARG
Price/Earnings (TTM),
Price/Sales (TTM),0.90265
Price/Book (MRQ),2.66637
Price/Cash Flow (TTM),13.82573
5yr Low,9.14
5yr High,57.25
5yr Avg Return,-0.07451666666666668
EPS Growth 5yr,
Revenue Growth 5yr,0.36859610000000004
Dividend Growth 5yr,
Short Int Current Month,8368750.0
Short Int Prev Month,6628204.0
Short Int Pct of Float,0.09207570000000001
Days to Cover,2.13733
Float,101.4058
Shares Outstanding,118.9354
Institutions Holding Shares,295.0
% Held by Institutions,0.925668
FCF Growth 5yr,0.2717196090815408
