,JOBY
Price/Earnings (TTM),
Price/Sales (TTM),
Price/Book (MRQ),2.15421
Price/Cash Flow (TTM),
5yr Low,3.61
5yr High,17.0
5yr Avg Return,-0.25343333333333334
Short Int Current Month,31897417.0
Short Int Prev Month,31262395.0
Short Int Pct of Float,0.0887827
Days to Cover,8.99867
Float,359.3702
Shares Outstanding,621.7314
Institutions Holding Shares,190.0
% Held by Institutions,0.280736
FCF Growth 5yr,0.24055890139943556
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
