,JOBY
% Above Low,0.13570000000000002
% Held by Institutions,0.2807
52-Wk Range,['3.61 - 8.46']
Annual Dividend $,
Annual Dividend %,
Ask,4.23
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,
Bid,4.05
Bid Size,100.0
Closing Price,4.1
Day Change $,0.03
Day Change %,0.0074
Day High,4.11
Day Low,4.03
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.32
Ex-dividend Date,No dividend
Historical Volatility,0.8320000000000001
Last (size),9.0
Last (time),5:00p ET 11/25/22
Market Cap,2.5B
"P/E Ratio (TTM, GAAP)",
Prev Close,4.07
Shares Outstanding,621.7M
Short Interest,0.0888
Today's Open,4.07
Volume,1093243.0
Volume 10-day Avg,2435046.0
Volume Past Day,(Light)
