,SEAT
Price/Earnings (TTM),16.94299
Price/Sales (TTM),2.48383
Price/Book (MRQ),
Price/Cash Flow (TTM),28.42654
5yr Low,7.02
5yr High,14.35
5yr Avg Return,-0.09676666666666668
Short Int Current Month,6566765.0
Short Int Prev Month,6549663.0
Short Int Pct of Float,0.086311
Days to Cover,16.2943
Float,65.98155
Shares Outstanding,199.4964
Institutions Holding Shares,121.0
% Held by Institutions,1.024753
FCF Growth 5yr,3.1061853438122604
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
