,SEAT
% Above Low,0.022799999999999997
% Held by Institutions,1.0248
52-Wk Range,['7.02 - 12.52']
Annual Dividend $,
Annual Dividend %,
Ask,7.21
Ask Size,100.0
B/A Ratio,9.0
B/A Size,900x100
Beta,
Bid,7.18
Bid Size,900.0
Day Change $,-0.28
Day Change %,-0.0375
Day High,7.38
Day Low,7.17
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.44
Ex-dividend Date,No dividend
Historical Volatility,0.6070000000000001
Last (size),100.0
Last (time),1:55p ET 11/28/22
Market Cap,583.7M
"P/E Ratio (TTM, GAAP)",16.94
Prev Close,7.46
Price,7.18
Shares Outstanding,81.3M
Short Interest,0.0863
Today's Open,7.36
Volume Past Day,(Below Average)
