,VXRT
% Above Low,0.008199999999999999
% Held by Institutions,0.3614
52-Wk Range,['1.22 - 8.13']
Annual Dividend $,
Annual Dividend %,
Ask,1.24
Ask Size,800.0
B/A Ratio,0.25
B/A Size,200x800
Beta,0.7
Bid,1.22
Bid Size,200.0
Closing Price,1.23
Day Change $,-0.05
Day Change %,-0.0391
Day High,1.3
Day Low,1.22
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.83
Ex-dividend Date,No dividend
Historical Volatility,0.863
Last (size),52.0
Last (time),3:59p ET 11/28/22
Market Cap,161.4M
"P/E Ratio (TTM, GAAP)",
Prev Close,1.28
Shares Outstanding,131.2M
Short Interest,0.1892
Today's Open,1.26
Volume,2780381.0
Volume 10-day Avg,2686708.0
Volume Past Day,(Average)
