,VEEV
Price/Earnings (TTM),67.08994
Price/Sales (TTM),14.40807
Price/Book (MRQ),8.88398
Price/Cash Flow (TTM),68.33152
5yr Low,52.17
5yr High,343.96
5yr Avg Return,0.28191666666666676
EPS Growth 5yr,0.40264560000000005
Revenue Growth 5yr,0.2744204
Dividend Growth 5yr,
Short Int Current Month,2099393.0
Short Int Prev Month,2751616.0
Short Int Pct of Float,0.0150519
Days to Cover,1.53423
Float,139.4948
Shares Outstanding,155.2814
Institutions Holding Shares,1026.0
% Held by Institutions,0.909631
FCF Growth 5yr,-0.03330854624382806
