,REPL
Price/Earnings (TTM),
Price/Sales (TTM),
Price/Book (MRQ),2.58881
Price/Cash Flow (TTM),
5yr Low,8.58
5yr High,54.85
5yr Avg Return,0.22756
Short Int Current Month,1806256.0
Short Int Prev Month,2006969.0
Short Int Pct of Float,0.0398403
Days to Cover,5.39181
Float,45.3187
Shares Outstanding,49.73941
Institutions Holding Shares,164.0
% Held by Institutions,0.8269960000000001
FCF Growth 5yr,0.2572742110637541
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
