,REPL
% Above Low,0.5226
% Held by Institutions,0.8270000000000001
52-Wk Range,['13.05 - 30.89']
Annual Dividend $,
Annual Dividend %,
Ask,19.86
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.9
Bid,19.82
Bid Size,100.0
Day Change $,-0.12
Day Change %,-0.006
Day High,20.24
Day Low,19.44
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.74
Ex-dividend Date,No dividend
Historical Volatility,0.6020000000000001
Last (size),100.0
Last (time),12:33p ET 11/28/22
Market Cap,986.8M
"P/E Ratio (TTM, GAAP)",
Prev Close,19.99
Price,19.87
Shares Outstanding,49.7M
Short Interest,0.0398
Today's Open,19.9
Volume Past Day,(Light)
