,PETQ
% Above Low,0.7417
% Held by Institutions,0.9618000000000001
52-Wk Range,['6.66 - 25.40']
Annual Dividend $,
Annual Dividend %,
Ask,11.6
Ask Size,200.0
B/A Ratio,1.5
B/A Size,300x200
Beta,1.7
Bid,11.56
Bid Size,300.0
Day Change $,0.06
Day Change %,0.0052
Day High,11.84
Day Low,11.45
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.9
Ex-dividend Date,No dividend
Historical Volatility,0.725
Last (size),100.0
Last (time),10:31a ET 11/28/22
Market Cap,336.1M
"P/E Ratio (TTM, GAAP)",
Prev Close,11.54
Price,11.6
Shares Outstanding,29.0M
Short Interest,0.0987
Today's Open,11.59
Volume Past Day,(Light)
