,SOFI
Price/Earnings (TTM),
Price/Sales (TTM),3.04358
Price/Book (MRQ),0.82335
Price/Cash Flow (TTM),
5yr Low,4.51
5yr High,28.26
5yr Avg Return,-0.11189999999999997
Short Int Current Month,93261515.0
Short Int Prev Month,99240324.0
Short Int Pct of Float,0.113177
Days to Cover,1.33835
Float,870.773
Shares Outstanding,927.9383
Institutions Holding Shares,549.0
% Held by Institutions,0.312803
FCF Growth 5yr,0.7080450965403915
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
