,SOFI
% Above Low,0.0037
% Held by Institutions,0.3128
52-Wk Range,['4.45 - 18.69']
Annual Dividend $,
Annual Dividend %,
Ask,4.47
Ask Size,52400.0
B/A Ratio,0.7423664122137404
B/A Size,38900x52400
Beta,
Bid,4.46
Bid Size,38900.0
Day Change $,-0.1336
Day Change %,-0.028999999999999998
Day High,4.63
Day Low,4.45
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.58
Ex-dividend Date,No dividend
Historical Volatility,0.816
Last (size),150.0
Last (time),2:52p ET 11/28/22
Market Cap,4.1B
"P/E Ratio (TTM, GAAP)",
Prev Close,4.6
Price,4.47
Shares Outstanding,927.9M
Short Interest,0.11320000000000001
Today's Open,4.54
Volume Past Day,(Light)
