,H
Price/Earnings (TTM),82.44631
Price/Sales (TTM),1.91575
Price/Book (MRQ),3.00168
Price/Cash Flow (TTM),18.97759
5yr Low,24.02
5yr High,108.1
5yr Avg Return,0.06771666666666668
EPS Growth 5yr,
Revenue Growth 5yr,-0.06621400000000001
Dividend Growth 5yr,
Short Int Current Month,3373781.0
Short Int Prev Month,3886851.0
Short Int Pct of Float,0.0716899
Days to Cover,3.69271
Float,47.24428
Shares Outstanding,107.1188
Institutions Holding Shares,396.0
% Held by Institutions,1.037159
FCF Growth 5yr,0.23724138676700343
