,H
% Below High,0.1101
% Held by Institutions,1.0372
52-Wk Range,['70.12 - 108.10']
Annual Dividend $,
Annual Dividend %,
Ask,98.8
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.4
Bid,94.5
Bid Size,100.0
Closing Price,96.2
Day Change $,-0.08
Day Change %,-0.0008
Day High,97.46
Day Low,95.69
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.17
Ex-dividend Date,No dividend
Historical Volatility,0.428
Last (size),48.0
Last (time),5:00p ET 11/25/22
Market Cap,10.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",82.45
Prev Close,96.28
Shares Outstanding,107.1M
Short Interest,0.0717
Today's Open,96.27
Volume,377621.0
Volume 10-day Avg,635259.0
Volume Past Day,(Light)
