,AWK
% Above Low,0.2454
% Held by Institutions,0.8590000000000001
52-Wk Range,['122.77 - 189.65']
Annual Dividend $,2.62
Annual Dividend %,0.0171
Ask,153.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.5
Bid,134.34
Bid Size,100.0
Closing Price,152.9
Day Change $,1.64
Day Change %,0.0108
Day High,153.37
Day Low,151.51
Dividend Pay Date,2022-12-01 00:00:00
"EPS (TTM, GAAP)",7.24
Ex-dividend,2022-11-07 00:00:00
Ex-dividend Date,11/07/22
Historical Volatility,0.27
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,27.8B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",21.11
Prev Close,151.26
Shares Outstanding,181.8M
Short Interest,0.0149
Today's Open,151.97
Volume,351534.0
Volume 10-day Avg,788600.0
Volume Past Day,(Light)
