,AWK
Price/Earnings (TTM),21.11365
Price/Sales (TTM),7.29315
Price/Book (MRQ),3.58358
Price/Cash Flow (TTM),14.16275
5yr Low,76.04
5yr High,189.65
5yr Avg Return,0.1106
EPS Growth 5yr,0.2155915
Revenue Growth 5yr,0.0354356
Dividend Growth 5yr,0.09982300000000001
Short Int Current Month,2694667.0
Short Int Prev Month,2940319.0
Short Int Pct of Float,0.0148944
Days to Cover,2.69567
Float,180.9477
Shares Outstanding,181.8279
Institutions Holding Shares,1425.0
% Held by Institutions,0.8590049999999999
FCF Growth 5yr,0.6125752544807065
