,PLTR
% Above Low,0.1266
% Held by Institutions,0.3298
52-Wk Range,['6.44 - 21.40']
Annual Dividend $,
Annual Dividend %,
Ask,7.26
Ask Size,7500.0
B/A Ratio,1.9066666666666667
B/A Size,14300x7500
Beta,
Bid,7.25
Bid Size,14300.0
Day Change $,-0.025
Day Change %,-0.0034000000000000002
Day High,7.4
Day Low,7.17
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.27
Ex-dividend Date,No dividend
Historical Volatility,0.73
Last (size),150.0
Last (time),11:03a ET 11/28/22
Market Cap,15.1B
"P/E Ratio (TTM, GAAP)",
Prev Close,7.28
Price,7.26
Shares Outstanding,2.1B
Short Interest,0.0696
Today's Open,7.23
Volume Past Day,(Light)
