,PLTR
Price/Earnings (TTM),
Price/Sales (TTM),8.2748
Price/Book (MRQ),6.34369
Price/Cash Flow (TTM),
5yr Low,6.44
5yr High,45.0
5yr Avg Return,0.1703333333333333
Short Int Current Month,121489083.0
Short Int Prev Month,119568239.0
Short Int Pct of Float,0.0695704
Days to Cover,2.42768
Float,1754.715
Shares Outstanding,2080.195
Institutions Holding Shares,987.0
% Held by Institutions,0.329758
FCF Growth 5yr,0.7802922415071949
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
