,PLTR
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.3333333333333335
Growth 2yr High Est,2.5
Growth 2yr Consensus Est,1.4166666666666667
Growth 5yr Low Est,0.3333333333333335
Growth 5yr High Est,2.5
Growth 5yr Consensus Est,1.4166666666666667
Growth 5yr Actual/Est,0.4115384615384614
Growth 3yr Historic,-0.11666666666666665
