,ARQT
Price/Earnings (TTM),
Price/Sales (TTM),1510.17
Price/Book (MRQ),4.04222
Price/Cash Flow (TTM),
5yr Low,13.59
5yr High,40.88
5yr Avg Return,-0.048
Short Int Current Month,8054573.0
Short Int Prev Month,8039427.0
Short Int Pct of Float,0.13702920000000002
Days to Cover,9.13668
Float,58.97307
Shares Outstanding,60.92782
Institutions Holding Shares,198.0
% Held by Institutions,0.974877
FCF Growth 5yr,0.39092174487960657
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
