,ARQT
% Above Low,0.3223
% Held by Institutions,0.9749
52-Wk Range,['13.59 - 27.40']
Annual Dividend $,
Annual Dividend %,
Ask,20.0
Ask Size,200.0
B/A Ratio,2.0
B/A Size,400x200
Beta,
Bid,17.97
Bid Size,400.0
Closing Price,17.97
Day Change $,0.24
Day Change %,0.013500000000000002
Day High,18.09
Day Low,17.5
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-5.89
Ex-dividend Date,No dividend
Historical Volatility,0.691
Last (size),19.0
Last (time),12:59p ET 11/25/22
Market Cap,1.1B
"P/E Ratio (TTM, GAAP)",
Prev Close,17.73
Shares Outstanding,60.9M
Short Interest,0.13699999999999998
Today's Open,17.56
Volume,355322.0
Volume 10-day Avg,831079.0
Volume Past Day,(Light)
