,DFS
Price/Earnings (TTM),7.0754
Price/Sales (TTM),2.36886
Price/Book (MRQ),2.24549
Price/Cash Flow (TTM),6.02349
5yr Low,23.25
5yr High,135.69
5yr Avg Return,0.10893333333333331
EPS Growth 5yr,0.25360859999999996
Revenue Growth 5yr,0.0433186
Dividend Growth 5yr,0.1013871
Short Int Current Month,4072411.0
Short Int Prev Month,3206662.0
Short Int Pct of Float,0.015001800000000001
Days to Cover,2.46536
Float,271.5248
Shares Outstanding,273.2258
Institutions Holding Shares,1223.0
% Held by Institutions,0.832034
FCF Growth 5yr,0.23083464077966762
