,DFS
Next Earnings Announcement,2023-01-18 00:00:00
Growth Analysts,17.0
Growth 1yr Low Est,-0.0982694684796045
Growth 1yr High Est,-0.1433982683982684
Growth 1yr Consensus Est,-0.12083386843893645
Growth 2yr Low Est,-0.24036160195741707
Growth 2yr High Est,-0.0663295827146112
Growth 2yr Consensus Est,-0.15334559233601414
Growth 5yr Low Est,0.08177450628386135
Growth 5yr High Est,0.22120202086976865
Growth 5yr Consensus Est,0.151488263576815
Growth 5yr Actual/Est,0.7796893394792545
Growth 3yr Historic,0.8373133871757219
