,DFS
% Above Low,0.24059999999999998
% Held by Institutions,0.8320000000000001
52-Wk Range,['87.64 - 130.81']
Annual Dividend $,2.4
Annual Dividend %,0.022099999999999998
Ask,114.9
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.4
Bid,92.4
Bid Size,200.0
Closing Price,108.73
Day Change $,0.07
Day Change %,0.0006
Day High,109.09
Day Low,108.05
Dividend Pay Date,2022-12-08 00:00:00
"EPS (TTM, GAAP)",15.37
Ex-dividend,2022-11-22 00:00:00
Ex-dividend Date,11/22/22
Historical Volatility,0.409
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,29.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",7.08
Prev Close,108.66
Shares Outstanding,273.2M
Short Interest,0.015
Today's Open,108.33
Volume,682605.0
Volume 10-day Avg,1859343.0
Volume Past Day,(Light)
