,CPB
Price/Earnings (TTM),21.17661
Price/Sales (TTM),1.85695
Price/Book (MRQ),4.76102
Price/Cash Flow (TTM),14.53308
5yr Low,32.04
5yr High,57.54
5yr Avg Return,0.05406666666666667
EPS Growth 5yr,-0.0359245
Revenue Growth 5yr,0.0796354
Dividend Growth 5yr,0.011175999999999998
Short Int Current Month,13053904.0
Short Int Prev Month,13928884.0
Short Int Pct of Float,0.0680134
Days to Cover,5.19085
Float,192.1
Shares Outstanding,299.7584
Institutions Holding Shares,861.0
% Held by Institutions,0.512027
FCF Growth 5yr,0.7915079033616544
