,CPB
% Below High,0.0045000000000000005
% Held by Institutions,0.512
52-Wk Range,['39.85 - 53.28']
Annual Dividend $,1.48
Annual Dividend %,0.0279
Ask,56.5
Ask Size,100.0
B/A Ratio,13.0
B/A Size,1300x100
Beta,0.4
Bid,50.0
Bid Size,1300.0
Closing Price,53.04
Day Change $,0.5
Day Change %,0.0095
Day High,53.11
Day Low,52.66
Dividend Pay Date,2022-10-31 00:00:00
"EPS (TTM, GAAP)",2.5
Ex-dividend,2022-10-05 00:00:00
Ex-dividend Date,10/05/22
Historical Volatility,0.23600000000000002
Last (size),10.0
Last (time),5:00p ET 11/25/22
Market Cap,15.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",21.18
Prev Close,52.54
Shares Outstanding,299.8M
Short Interest,0.068
Today's Open,52.76
Volume,911404.0
Volume 10-day Avg,2285511.0
Volume Past Day,(Light)
