,HUM
% Below High,0.053099999999999994
% Held by Institutions,0.9401
52-Wk Range,['351.20 - 571.30']
Annual Dividend $,3.15
Annual Dividend %,0.0058
Ask,553.75
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.8
Bid,540.0
Bid Size,100.0
Closing Price,540.95
Day Change $,2.65
Day Change %,0.0049
Day High,545.3
Day Low,538.64
Dividend Pay Date,2023-01-27 00:00:00
"EPS (TTM, GAAP)",22.05
Ex-dividend,2022-12-29 00:00:00
Ex-dividend Date,12/29/22
Historical Volatility,0.337
Last (size),80.0
Last (time),5:00p ET 11/25/22
Market Cap,68.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",24.54
Prev Close,538.3
Shares Outstanding,126.6M
Short Interest,0.021099999999999997
Today's Open,541.75
Volume,339402.0
Volume 10-day Avg,1117722.0
Volume Past Day,(Light)
