,HUM
Next Earnings Announcement,2023-02-01 00:00:00
Growth Analysts,25.0
Growth 1yr Low Est,0.22363903874448243
Growth 1yr High Est,0.21745419479267136
Growth 1yr Consensus Est,0.2205466167685769
Growth 2yr Low Est,0.16793174382113907
Growth 2yr High Est,0.17288551323791979
Growth 2yr Consensus Est,0.17040862852952943
Growth 5yr Low Est,0.12136280957407275
Growth 5yr High Est,0.12617092431501076
Growth 5yr Consensus Est,0.12376686694454175
Growth 5yr Actual/Est,0.12078615391637304
Growth 3yr Historic,0.03751113598209288
