,HUM
Price/Earnings (TTM),24.53667
Price/Sales (TTM),0.74859
Price/Book (MRQ),4.21339
Price/Cash Flow (TTM),18.85585
5yr Low,208.25
5yr High,571.3
5yr Avg Return,0.14348333333333335
EPS Growth 5yr,0.4099127
Revenue Growth 5yr,0.08841950000000001
Dividend Growth 5yr,0.1927241
Short Int Current Month,2667167.0
Short Int Prev Month,2058438.0
Short Int Pct of Float,0.021112199999999998
Days to Cover,1.88752
Float,126.3665
Shares Outstanding,126.6003
Institutions Holding Shares,1403.0
% Held by Institutions,0.940056
FCF Growth 5yr,36.011754666014845
