,ZIP
Price/Earnings (TTM),36.93761
Price/Sales (TTM),2.07282
Price/Book (MRQ),14.385
Price/Cash Flow (TTM),25.77617
5yr Low,13.78
5yr High,32.9
5yr Avg Return,-0.03445
Short Int Current Month,5107395.0
Short Int Prev Month,5643680.0
Short Int Pct of Float,0.0966677
Days to Cover,5.28032
Float,52.83212
Shares Outstanding,110.1856
Institutions Holding Shares,172.0
% Held by Institutions,0.918122
FCF Growth 5yr,1.075883508743591
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
