,ZIP
% Above Low,0.24600000000000002
% Held by Institutions,0.9181
52-Wk Range,['13.78 - 30.49']
Annual Dividend $,
Annual Dividend %,
Ask,17.48
Ask Size,
B/A Ratio,
B/A Size,--
Beta,
Bid,
Bid Size,
Closing Price,17.17
Day Change $,-0.03
Day Change %,-0.0017000000000000001
Day High,17.52
Day Low,16.96
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.47
Ex-dividend Date,No dividend
Historical Volatility,0.629
Last (size),4.0
Last (time),7:00p ET 11/28/22
Market Cap,1.9B
"P/E Ratio (TTM, GAAP)",36.94
Prev Close,17.2
Shares Outstanding,110.2M
Short Interest,0.0967
Today's Open,17.0
Volume,550994.0
Volume 10-day Avg,602232.0
Volume Past Day,(Average)
