,MLM
% Below High,0.17670000000000002
% Held by Institutions,0.9462999999999999
52-Wk Range,['284.99 - 446.46']
Annual Dividend $,2.64
Annual Dividend %,0.0072
Ask,368.46
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,0.9
Bid,156.95
Bid Size,200.0
Change Since Close,-2.27| |(-0.62%)
Closing Price,367.59
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-30 00:00:00
"EPS (TTM, GAAP)",13.2
Ex-dividend,2022-11-30 00:00:00
Ex-dividend Date,11/30/22
Historical Volatility,0.327
Last (size),1.0
Last (time),5:00p ET 11/25/22
Last Trade,365.32
Market Cap,22.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",27.86
Prev Close,367.59
Shares Outstanding,62.1M
Short Interest,0.0213
Today's Open,
Volume,1.0
Volume 10-day Avg,306458.0
Volume Past Day,(Light)
