,MLM
Price/Earnings (TTM),27.85748
Price/Sales (TTM),3.69283
Price/Book (MRQ),3.29128
Price/Cash Flow (TTM),17.06972
5yr Low,135.08
5yr High,446.46
5yr Avg Return,0.14881666666666668
EPS Growth 5yr,0.1106609
Revenue Growth 5yr,0.0723077
Dividend Growth 5yr,0.07550799999999999
Short Int Current Month,1313280.0
Short Int Prev Month,1276398.0
Short Int Pct of Float,0.021293600000000003
Days to Cover,2.95907
Float,61.68006
Shares Outstanding,62.09069
Institutions Holding Shares,980.0
% Held by Institutions,0.9463370000000001
FCF Growth 5yr,1.0285159285159284
