,DT
% Above Low,0.2482
% Held by Institutions,0.9765
52-Wk Range,['29.41 - 65.79']
Annual Dividend $,
Annual Dividend %,
Ask,41.51
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,
Bid,32.2
Bid Size,200.0
Closing Price,36.71
Day Change $,-0.17
Day Change %,-0.0046
Day High,36.96
Day Low,36.3
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.1
Ex-dividend Date,No dividend
Historical Volatility,0.583
Last (size),2.0
Last (time),5:00p ET 11/25/22
Market Cap,10.6B
"P/E Ratio (TTM, GAAP)",379.71
Prev Close,36.88
Shares Outstanding,287.9M
Short Interest,0.0599
Today's Open,36.41
Volume,490826.0
Volume 10-day Avg,1931191.0
Volume Past Day,(Light)
