,DT
Price/Earnings (TTM),379.7062
Price/Sales (TTM),10.16115
Price/Book (MRQ),7.53783
Price/Cash Flow (TTM),126.1892
5yr Low,17.05
5yr High,80.13
5yr Avg Return,0.16867499999999996
EPS Growth 5yr,1.3085149999999999
Revenue Growth 5yr,0.1799373
Dividend Growth 5yr,
Short Int Current Month,11390209.0
Short Int Prev Month,14074946.0
Short Int Pct of Float,0.0598745
Days to Cover,3.56743
Float,194.8762
Shares Outstanding,287.853
Institutions Holding Shares,563.0
% Held by Institutions,0.97649
FCF Growth 5yr,0.10470960996918936
