,DT
Next Earnings Announcement,2023-02-01 00:00:00
Growth Analysts,21.0
Growth 1yr Low Est,0.2272727272727273
Growth 1yr High Est,0.25714285714285734
Growth 1yr Consensus Est,0.24220779220779232
Growth 2yr Low Est,0.14450056116722776
Growth 2yr High Est,0.31607142857142867
Growth 2yr Consensus Est,0.23028599486932821
Growth 5yr Low Est,0.12365611181640324
Growth 5yr High Est,0.24196428571428577
Growth 5yr Consensus Est,0.18281019876534452
Growth 5yr Actual/Est,0.3751080815226694
Growth 3yr Historic,0.27790578597030213
