,TCBK
% Below High,0.0993
% Held by Institutions,0.6115999999999999
52-Wk Range,['37.41 - 58.62']
Annual Dividend $,1.2
Annual Dividend %,0.022099999999999998
Ask,52.84
Ask Size,200.0
Ask close,66.66
B/A Ratio,6.5
B/A Size,1300x200
Beta,0.6
Bid,52.8
Bid Size,1300.0
Bid close,40.85
Change Since Close,0.00| |(0.00%)
Closing Price,52.8
Day Change $,-1.49
Day Change %,-0.0274
Day High,54.28
Day Low,52.76
Dividend Pay Date,2022-12-23 00:00:00
"EPS (TTM, GAAP)",3.67
Ex-dividend,2022-12-08 00:00:00
Ex-dividend Date,12/08/22
Historical Volatility,0.273
Last (size),2.0
Last (time),4:00p ET 11/28/22
Last Trade,52.8
Market Cap,1.8B
"P/E Ratio (TTM, GAAP)",14.81
Prev Close,54.29
Shares Outstanding,33.3M
Short Interest,0.019799999999999998
Today's Open,54.28
Volume,63022.0
Volume 10-day Avg,70983.0
Volume Past Day,(Below Average)
