,TCBK
Price/Earnings (TTM),14.80966
Price/Sales (TTM),4.75481
Price/Book (MRQ),1.82726
Price/Cash Flow (TTM),14.02019
5yr Low,23.05
5yr High,58.62
5yr Avg Return,0.04948333333333333
EPS Growth 5yr,0.1519585
Revenue Growth 5yr,0.0978594
Dividend Growth 5yr,0.10756629999999999
Short Int Current Month,627615.0
Short Int Prev Month,787952.0
Short Int Pct of Float,0.0197686
Days to Cover,9.29759
Float,31.75874
Shares Outstanding,33.32719
Institutions Holding Shares,195.0
% Held by Institutions,0.61159
FCF Growth 5yr,0.27412980696154426
