,PACB
Price/Earnings (TTM),
Price/Sales (TTM),16.68953
Price/Book (MRQ),3.64514
Price/Cash Flow (TTM),
5yr Low,2.02
5yr High,53.69
5yr Avg Return,0.7776499999999998
EPS Growth 5yr,
Revenue Growth 5yr,0.075464
Dividend Growth 5yr,
Short Int Current Month,24192224.0
Short Int Prev Month,23237189.0
Short Int Pct of Float,0.1174154
Days to Cover,3.32495
Float,206.3774
Shares Outstanding,226.1093
Institutions Holding Shares,300.0
% Held by Institutions,0.8708549999999999
FCF Growth 5yr,0.3150789807416313
