,CRI
Next Earnings Announcement,2023-02-24 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,-0.19104084321475634
Growth 1yr High Est,-0.1472868217054264
Growth 1yr Consensus Est,-0.16916383246009137
Growth 2yr Low Est,-0.12320771802431629
Growth 2yr High Est,0.02484143763213531
Growth 2yr Consensus Est,-0.04918314019609049
Growth 5yr Low Est,-0.0210219294562623
Growth 5yr High Est,0.055602536997885865
Growth 5yr Consensus Est,0.017290303770811782
Growth 5yr Actual/Est,0.10414786321128638
Growth 3yr Historic,0.1339474428435342
