,CRI
% Above Low,0.1991
% Held by Institutions,1.1588
52-Wk Range,['62.66 - 107.96']
Annual Dividend $,3.0
Annual Dividend %,0.039900000000000005
Ask,108.0
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.3
Bid,75.15
Bid Size,100.0
Closing Price,75.13
Day Change $,-0.17
Day Change %,-0.0023
Day High,75.97
Day Low,74.92
Dividend Pay Date,2022-12-09 00:00:00
"EPS (TTM, GAAP)",6.65
Ex-dividend,2022-11-28 00:00:00
Ex-dividend Date,11/28/22
Historical Volatility,0.396
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,2.9B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",11.3
Prev Close,75.3
Shares Outstanding,38.2M
Short Interest,0.061799999999999994
Today's Open,74.92
Volume,226100.0
Volume 10-day Avg,684105.0
Volume Past Day,(Light)
