,CRI
Price/Earnings (TTM),11.30009
Price/Sales (TTM),0.85261
Price/Book (MRQ),3.66558
Price/Cash Flow (TTM),8.39024
5yr Low,60.17
5yr High,129.0
5yr Avg Return,-0.02871666666666666
EPS Growth 5yr,0.0898964
Revenue Growth 5yr,0.017386600000000002
Dividend Growth 5yr,0.011837599999999998
Short Int Current Month,2294625.0
Short Int Prev Month,2808310.0
Short Int Pct of Float,0.0617588
Days to Cover,3.0802
Float,37.26467
Shares Outstanding,38.16159
Institutions Holding Shares,405.0
% Held by Institutions,1.158755
FCF Growth 5yr,-0.2956240142286653
