,DMRC
Price/Earnings (TTM),
Price/Sales (TTM),14.60234
Price/Book (MRQ),3.68794
Price/Cash Flow (TTM),
5yr Low,9.92
5yr High,66.5
5yr Avg Return,0.08555000000000001
EPS Growth 5yr,
Revenue Growth 5yr,0.040042999999999995
Dividend Growth 5yr,
Short Int Current Month,2377438.0
Short Int Prev Month,2292957.0
Short Int Pct of Float,0.1722776
Days to Cover,10.91645
Float,13.7955
Shares Outstanding,20.03596
Institutions Holding Shares,105.0
% Held by Institutions,0.589016
FCF Growth 5yr,0.3424552810181301
