,OB
Price/Earnings (TTM),11.53297
Price/Sales (TTM),0.20739
Price/Book (MRQ),0.9622
Price/Cash Flow (TTM),4.4783
5yr Low,3.42
5yr High,20.99
5yr Avg Return,-0.5057
Short Int Current Month,816654.0
Short Int Prev Month,1005816.0
Short Int Pct of Float,0.0195293
Days to Cover,3.00131
Float,41.83918
Shares Outstanding,52.55576
Institutions Holding Shares,115.0
% Held by Institutions,0.639809
FCF Growth 5yr,0.21572698869843268
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
