,OB
Next Earnings Announcement,2023-02-28 00:00:00
Growth Analysts,1.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.28125
Growth 2yr High Est,-0.2592592592592593
Growth 2yr Consensus Est,0.01099537037037035
Growth 5yr Low Est,0.28125
Growth 5yr High Est,-0.2592592592592593
Growth 5yr Consensus Est,0.01099537037037035
Growth 5yr Actual/Est,-0.6785714285714286
Growth 3yr Historic,0.0
