,OB
% Above Low,0.1813
% Held by Institutions,0.6397999999999999
52-Wk Range,['3.42 - 15.73']
Annual Dividend $,
Annual Dividend %,
Ask,4.34
Ask Size,100.0
Ask close,4.91
B/A Ratio,2.0
B/A Size,200x100
Beta,
Bid,4.24
Bid Size,200.0
Bid close,3.13
Change Since Close,0.22| |(5.45%)
Closing Price,4.04
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.35
Ex-dividend Date,No dividend
Historical Volatility,0.7240000000000001
Last (size),1.0
Last (time),1:00p ET 11/25/22
Last Trade,4.26
Market Cap,212.3M
"P/E Ratio (TTM, GAAP)",11.53
Prev Close,4.04
Shares Outstanding,52.6M
Short Interest,0.0195
Today's Open,
Volume,21697.0
Volume 10-day Avg,284028.0
Volume Past Day,(Light)
