,ISRG
% Above Low,0.47240000000000004
% Held by Institutions,0.8481000000000001
52-Wk Range,['180.07 - 369.21']
Annual Dividend $,
Annual Dividend %,
Ask,265.95
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.4
Bid,265.01
Bid Size,100.0
Closing Price,265.13
Day Change $,0.68
Day Change %,0.0026
Day High,265.35
Day Low,261.41
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",3.78
Ex-dividend Date,No dividend
Historical Volatility,0.44700000000000006
Last (size),1.0
Last (time),1:00p ET 11/25/22
Market Cap,93.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",70.21
Prev Close,264.45
Shares Outstanding,353.4M
Short Interest,0.0178
Today's Open,263.69
Volume,788105.0
Volume 10-day Avg,2015051.0
Volume Past Day,(Light)
