,CWK
% Above Low,0.1305
% Held by Institutions,0.8493999999999999
52-Wk Range,['10.04 - 23.54']
Annual Dividend $,
Annual Dividend %,
Ask,18.2
Ask Size,1000.0
B/A Ratio,0.1
B/A Size,100x1000
Beta,1.4
Bid,4.0
Bid Size,100.0
Closing Price,11.35
Day Change $,0.12
Day Change %,0.010700000000000001
Day High,11.39
Day Low,11.13
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.37
Ex-dividend Date,No dividend
Historical Volatility,0.41700000000000004
Last (size),75.0
Last (time),5:00p ET 11/25/22
Market Cap,2.6B
"P/E Ratio (TTM, GAAP)",8.3
Prev Close,11.23
Shares Outstanding,225.8M
Short Interest,0.0467
Today's Open,11.17
Volume,322632.0
Volume 10-day Avg,1262657.0
Volume Past Day,(Light)
