,SJI
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,0.031249999999999778
Growth 1yr High Est,0.11515151515151523
Growth 1yr Consensus Est,0.0732007575757575
Growth 2yr Low Est,0.030776515151515027
Growth 2yr High Est,0.08474967061923588
Growth 2yr Consensus Est,0.057763092885375455
Growth 5yr Low Est,0.13575862794612786
Growth 5yr High Est,0.15107048748353097
Growth 5yr Consensus Est,0.14341455771482942
Growth 5yr Actual/Est,0.14458492268569784
Growth 3yr Historic,0.11607142857142855
