,SJI
Price/Earnings (TTM),26.09316
Price/Sales (TTM),1.66302
Price/Book (MRQ),2.09463
Price/Cash Flow (TTM),13.97332
5yr Low,18.24
5yr High,36.72
5yr Avg Return,0.03665000000000001
EPS Growth 5yr,-0.12478910000000001
Revenue Growth 5yr,0.1395774
Dividend Growth 5yr,0.027795200000000003
Short Int Current Month,4335081.0
Short Int Prev Month,5412474.0
Short Int Pct of Float,0.0355881
Days to Cover,4.91404
Float,121.8151
Shares Outstanding,122.4648
Institutions Holding Shares,378.0
% Held by Institutions,0.8547880000000001
FCF Growth 5yr,-1.5920874791842532
