,SJI
% Below High,0.0102
% Held by Institutions,0.8548
52-Wk Range,['23.14 - 35.32']
Annual Dividend $,1.24
Annual Dividend %,0.0353
Ask,34.97
Ask Size,500.0
B/A Ratio,1.0
B/A Size,500x500
Beta,0.6
Bid,34.95
Bid Size,500.0
Day Change $,-0.14
Day Change %,-0.004
Day High,35.16
Day Low,34.96
Dividend Pay Date,2022-12-27 00:00:00
"EPS (TTM, GAAP)",1.35
Ex-dividend,2022-12-16 00:00:00
Ex-dividend Date,12/16/22
Historical Volatility,0.36
Last (size),30.0
Last (time),2:24p ET 11/28/22
Market Cap,4.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",26.09
Prev Close,35.1
Price,34.96
Shares Outstanding,122.5M
Short Interest,0.0356
Today's Open,35.0
Volume Past Day,(Light)
