,MSCI
Next Earnings Announcement,2023-01-24 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,0.1630094043887147
Growth 1yr High Est,0.14914914914914923
Growth 1yr Consensus Est,0.15607927676893196
Growth 2yr Low Est,0.11968978754925397
Growth 2yr High Est,0.1490519264909509
Growth 2yr Consensus Est,0.13437085702010243
Growth 5yr Low Est,0.17856322927527724
Growth 5yr High Est,0.18976861533023281
Growth 5yr Consensus Est,0.18416592230275503
Growth 5yr Actual/Est,0.18501178191712953
Growth 3yr Historic,0.12164800536239812
